id;name;category;difficulty;machine_id;requires_machine;primary_muscles;secondary_muscles;contraindicated_injuries;video_path;description;workout_split;movement_pattern;equipment;created_at;updated_at;primary_role;secondary_role;exercise_with_weights
e726087b-fd84-4c73-b3b9-b26bb7bb779a;Barbell Feet Elevated Single Leg Glute Bridge;legs;3;;False;"[""gluteus""]";"[""hamstrings"", ""core""]";"[""ankles"", ""knees"", ""lower_back"", ""hips""]";Legs/_Barbell_Feet_Elevated_Single_Leg_Glute_Bridge.mp4;;"[""upper_lower""]";SINGLE_LEG;"[""bodyweight""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:30:37.243166+00;single_leg_lower;;False
3aa0daaf-274e-4a89-bf79-d11aaee6e1ec;Shoulder Abduction;core;3;;False;"[""ramená"", ""core""]";"[""triceps""]";[];shouders/shoulder_abduction_.mp4;;"[""full_body""]";ACCESSORY_UPPER;"[""bodyweight""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:30:37.243166+00;horizontal_push;;False
ce79c13f-0f84-450c-9994-8b94f4babdd4;Resistance Band Standing Single Arm Shoulder Extension;shoulders;3;;False;"[""ramená""]";"[""triceps""]";[];calisthenics-cardio-functional/_Resistance_Band_Standing_Single_Arm_Shoulder_Extension.mp4;;"[""ppl""]";ACCESSORY_UPPER;"[""resistance_band""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:16:46.025418+00;horizontal_push;;True
7c105971-ec6f-4ea5-8291-fdab51abf281;Resistance Band Kneeling Leg Half Circle;chest;3;;False;"[""prsia""]";"[""triceps"", ""ramená""]";[];Legs/_Resistance_Band_Kneeling_Leg_Half_Circle.mp4;;"[""ppl""]";ACCESSORY_UPPER;"[""resistance_band""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:16:46.025418+00;horizontal_push;;True
40ef610d-b52a-4983-b45c-c156b3ba5b3b;Resistance Band Leg Kickback;legs;3;;False;"[""gluteus""]";"[""hamstrings"", ""core""]";[];Legs/_Resistance_Band_Leg_Kickback.mp4;;"[""upper_lower""]";ACCESSORY_UPPER;"[""resistance_band""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:16:46.025418+00;horizontal_push;;True
b1920538-11ab-4d9c-935e-25e190c838d0;Resistance Band Lying Abduction;core;3;;False;"[""core""]";[];[];Legs/_Resistance_Band_Lying_Abduction.mp4;;"[""full_body""]";ACCESSORY_UPPER;"[""resistance_band""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:16:46.025418+00;horizontal_push;;True
5a084c5f-65c7-4c81-ac03-3e4407497be4;Archer Pull Up;back;5;79ad3be7-f6b4-4ff6-a2cf-7cd03e2e5a27;True;"[""chrbát""]";"[""biceps"", ""ramená""]";"[""wrists"", ""shoulders"", ""upper_back"", ""elbows""]";back/Archer_pull_up.mp4;;"[""ppl""]";VERTICAL_PULL;"[""bodyweight""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:30:37.243166+00;vertical_pull;;False
06fc4967-d6d0-45a7-94e2-11cca335e5ad;Assisted Pull Up Close Grip;back;3;79ad3be7-f6b4-4ff6-a2cf-7cd03e2e5a27;True;"[""chrbát""]";"[""biceps"", ""ramená""]";"[""wrists"", ""shoulders"", ""upper_back"", ""elbows""]";back/assisted_pull_up_close_grip_.mp4;;"[""ppl""]";VERTICAL_PULL;"[""bodyweight""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:30:37.243166+00;vertical_pull;;False
94ff4d3c-2810-467f-bf83-3f5a3983a393;Assisted Pull Up Normal Grip;back;3;79ad3be7-f6b4-4ff6-a2cf-7cd03e2e5a27;True;"[""chrbát""]";"[""biceps"", ""ramená""]";"[""wrists"", ""shoulders"", ""upper_back"", ""elbows""]";back/assisted_pull_up_normal_grip_.mp4;;"[""ppl""]";VERTICAL_PULL;"[""bodyweight""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:30:37.243166+00;vertical_pull;;False
c21f5c19-d61e-42eb-81fd-48c51e246fa1;Band Pull Up;back;5;79ad3be7-f6b4-4ff6-a2cf-7cd03e2e5a27;True;"[""chrbát""]";"[""biceps"", ""ramená""]";"[""wrists"", ""shoulders"", ""upper_back"", ""elbows""]";back/Band_Pull_Up.mp4;;"[""ppl""]";VERTICAL_PULL;"[""resistance_band"", ""bodyweight""]";2026-01-07 18:44:27.959931+00;2026-01-11 02:16:46.025418+00;vertical_pull;;True
